iter	Logloss
0	0.6768953616
1	0.6617385594
2	0.6482085441
3	0.6361462038
4	0.6259957604
5	0.6161305753
6	0.6074810543
7	0.5996582541
8	0.5929415395
9	0.5866102651
10	0.5808375245
11	0.5759063041
12	0.5711133058
13	0.5669130066
14	0.5632669505
15	0.5595234413
16	0.5561674895
17	0.5531693073
18	0.5503779474
19	0.5477791605
20	0.5453021502
21	0.5430919309
22	0.5408408415
23	0.5387522423
24	0.5370702741
25	0.5353563305
26	0.5336765269
27	0.5321411849
28	0.5307992596
29	0.5294811366
30	0.5282553508
31	0.5270856873
32	0.5261329745
33	0.5249663287
34	0.5239455241
35	0.5229940165
36	0.5220612185
37	0.52124864
38	0.5205058411
39	0.5196876958
40	0.5190286053
41	0.5183893306
42	0.5178193201
43	0.5172181003
44	0.5166671673
45	0.5160888727
46	0.5156309732
47	0.515144069
48	0.5146960454
49	0.5142625897
50	0.5138575208
51	0.513435803
52	0.513045799
53	0.5127119156
54	0.5123747787
55	0.5120780592
56	0.5117900382
57	0.5114832822
58	0.5111984179
59	0.5109449254
60	0.5107021009
61	0.5104863136
62	0.5102763304
63	0.5100387501
64	0.5097990499
65	0.509620712
66	0.5093971997
67	0.5092013591
68	0.5090522284
69	0.5089129397
70	0.5087219334
71	0.508531729
72	0.5083620502
73	0.5081978103
74	0.5080149347
75	0.5078871035
76	0.5077558198
77	0.5075992811
78	0.5074593632
79	0.5073332868
80	0.5071906686
81	0.5070813753
82	0.506974828
83	0.5068562068
84	0.5067515123
85	0.5066213485
86	0.5065147027
87	0.5063880755
88	0.5063021999
89	0.5061803078
90	0.5060917453
91	0.5060014144
92	0.5059159305
93	0.5058292132
94	0.5057720403
95	0.5056921004
96	0.5056041834
97	0.5055275369
98	0.5054423338
99	0.5053606021
100	0.505297319
101	0.5052230858
102	0.5051529921
103	0.5050808616
104	0.5050037473
105	0.5049276016
106	0.5048564898
107	0.5047924729
108	0.5047315563
109	0.5046743634
110	0.5046506584
111	0.504587376
112	0.5045068432
113	0.5044357983
114	0.5043719959
115	0.504317774
116	0.5042466161
117	0.5041764696
118	0.5041092275
119	0.5040363132
120	0.5039894184
121	0.5039331907
122	0.5038758889
123	0.5038276605
124	0.5037360021
125	0.5036845731
126	0.5036332809
127	0.5035661821
128	0.5035057189
129	0.5034699884
130	0.503417821
131	0.5033802691
132	0.5033339806
133	0.5032984342
134	0.5032629514
135	0.5032125831
136	0.5031573221
137	0.5031226641
138	0.5030632633
139	0.5030245509
140	0.5029882641
141	0.5029466694
142	0.5028961284
143	0.5028645221
144	0.5028201549
145	0.5027808196
146	0.5027347204
147	0.5026942396
148	0.5026526541
149	0.5026166183
150	0.5025805749
151	0.5025328554
152	0.5024887036
153	0.5024505822
154	0.5024124617
155	0.5023696528
156	0.5023367875
157	0.5022930682
158	0.502255571
159	0.5022285493
160	0.5021863679
161	0.502158915
162	0.5021252061
163	0.5020762633
164	0.5020192511
165	0.5019776334
166	0.5019359645
167	0.5019006381
168	0.501871952
169	0.5018486044
170	0.5018008344
171	0.5017705335
172	0.5017430945
173	0.5017146465
174	0.5016735515
175	0.5016444907
176	0.5016241482
177	0.5016046602
178	0.5015816853
179	0.5015633634
180	0.5015351637
181	0.5015003022
182	0.5014795087
183	0.5014520061
184	0.5014111338
185	0.5013857009
186	0.501368014
187	0.5013419071
188	0.5013208701
189	0.5012939007
190	0.5012637104
191	0.5012318591
192	0.5011979879
193	0.501167209
194	0.5011384922
195	0.5011374649
196	0.5010929109
197	0.5010574673
198	0.501025334
199	0.5009927024
200	0.5009659851
201	0.5009320611
202	0.5008898473
203	0.5008490367
204	0.5008309032
205	0.5008010997
206	0.5007723697
207	0.5007372586
208	0.5007110795
209	0.5006784923
210	0.5006577985
211	0.5006351128
212	0.5005983639
213	0.5005616831
214	0.5005431252
215	0.5005187979
216	0.5004863857
217	0.5004615034
218	0.5004240807
219	0.5003928955
220	0.5003701507
221	0.5003332814
222	0.500304429
223	0.500276134
224	0.5002457731
225	0.5002142034
226	0.5001935385
227	0.5001534849
228	0.500116544
229	0.5000881365
230	0.5000630602
231	0.5000360918
232	0.5000054967
233	0.4999676633
234	0.4999524661
235	0.4999176695
236	0.4998854465
237	0.4998518529
238	0.4998236171
239	0.4997942369
240	0.4997775844
241	0.4997411891
242	0.4997158104
243	0.4996945249
244	0.4996638006
245	0.4996388283
246	0.4996110479
247	0.4995725336
248	0.4995449104
249	0.499517109
250	0.4994789988
251	0.4994416323
252	0.4994095522
253	0.4993771875
254	0.4993497749
255	0.4993178735
256	0.4992885626
257	0.4992639344
258	0.499239159
259	0.4992124483
260	0.4991861395
261	0.4991549315
262	0.4991231561
263	0.4990819953
264	0.499049275
265	0.4990192272
266	0.4989917612
267	0.4989655828
268	0.4989413378
269	0.4989144131
270	0.498882195
271	0.4988565824
272	0.4988299546
273	0.4988036786
274	0.4987766046
275	0.4987378568
276	0.4987131897
277	0.4986913947
278	0.4986581395
279	0.4986291167
280	0.4986014948
281	0.4985752844
282	0.4985514334
283	0.4985308003
284	0.4984995711
285	0.4984756586
286	0.4984383073
287	0.4984161467
288	0.4983884526
289	0.4983617203
290	0.4983316224
291	0.4983060204
292	0.4982870879
293	0.4982579137
294	0.4982291426
295	0.4981993467
296	0.4981691216
297	0.4981496029
298	0.4981208521
299	0.4981062689
300	0.4980878433
301	0.4980591199
302	0.4980375891
303	0.4980132173
304	0.4979867372
305	0.4979572291
306	0.4979331249
307	0.4979014131
308	0.4978753437
309	0.4978574331
310	0.4978316349
311	0.4978029505
312	0.4977840547
313	0.4977621249
314	0.4977385205
315	0.4977149444
316	0.497686982
317	0.4976580645
318	0.4976310491
319	0.497613194
320	0.4975867122
321	0.4975540094
322	0.4975329434
323	0.4975045408
324	0.4974781797
325	0.4974455398
326	0.4974296463
327	0.4974052696
328	0.4973749333
329	0.4973480163
330	0.4973228327
331	0.4972991455
332	0.49727331
333	0.4972499863
