iter	Passed	Remaining
0	8	4382
1	17	4238
2	24	4007
3	32	4070
4	41	4110
5	50	4132
6	58	4119
7	66	4117
8	74	4066
9	83	4069
10	91	4080
11	100	4069
12	107	4026
13	116	4037
14	124	4013
15	134	4055
16	141	4016
17	150	4034
18	158	4013
19	168	4044
20	177	4040
21	185	4038
22	195	4050
23	204	4055
24	213	4062
25	222	4059
26	232	4065
27	239	4042
28	248	4042
29	257	4039
30	266	4034
31	274	4007
32	283	4007
33	291	4001
34	301	4001
35	309	3992
36	318	3985
37	327	3978
38	336	3974
39	345	3970
40	353	3962
41	363	3960
42	372	3957
43	380	3945
44	389	3940
45	399	3938
46	408	3938
47	418	3939
48	427	3936
49	436	3929
50	445	3918
51	453	3908
52	462	3903
53	471	3895
54	481	3897
55	490	3886
56	499	3879
57	508	3871
58	516	3862
59	525	3851
60	535	3850
61	544	3843
62	552	3833
63	561	3828
64	570	3815
65	579	3807
66	588	3801
67	597	3796
68	607	3796
69	617	3792
70	626	3786
71	636	3782
72	645	3774
73	655	3771
74	664	3766
75	673	3759
76	683	3753
77	693	3750
78	702	3741
79	710	3730
80	719	3720
81	728	3712
82	735	3697
83	744	3686
84	753	3676
85	761	3667
86	771	3660
87	779	3651
88	789	3644
89	798	3636
90	807	3629
91	814	3612
92	823	3606
93	833	3598
94	841	3587
95	850	3577
96	859	3570
97	867	3559
98	876	3551
99	884	3539
100	893	3528
101	902	3521
102	910	3511
103	920	3504
104	928	3493
105	937	3485
106	946	3477
107	955	3467
108	964	3458
109	973	3451
110	981	3440
111	990	3430
112	999	3422
113	1008	3415
114	1016	3401
115	1024	3392
116	1034	3385
117	1044	3380
118	1054	3374
119	1063	3367
120	1072	3358
121	1080	3348
122	1089	3339
123	1097	3329
124	1105	3316
125	1114	3309
126	1123	3300
127	1132	3291
128	1141	3281
129	1149	3271
130	1158	3262
131	1167	3256
132	1175	3244
133	1185	3238
134	1194	3230
135	1203	3220
136	1211	3210
137	1223	3208
138	1231	3199
139	1241	3192
140	1252	3190
141	1264	3188
142	1274	3181
143	1283	3172
144	1292	3163
145	1301	3155
146	1310	3146
147	1319	3137
148	1328	3130
149	1338	3122
150	1346	3112
151	1353	3099
152	1362	3090
153	1371	3080
154	1380	3073
155	1388	3061
156	1397	3053
157	1406	3044
158	1415	3035
159	1423	3025
160	1432	3017
161	1442	3008
162	1451	3000
163	1460	2992
164	1469	2982
165	1477	2973
166	1485	2962
167	1495	2955
168	1504	2946
169	1513	2938
170	1522	2929
171	1532	2921
172	1541	2913
173	1549	2903
174	1559	2895
175	1567	2886
176	1576	2876
177	1585	2867
178	1594	2859
179	1603	2851
180	1612	2841
181	1620	2832
182	1629	2823
183	1638	2814
184	1646	2803
185	1656	2795
186	1665	2787
187	1673	2776
188	1681	2767
189	1692	2760
190	1701	2752
191	1710	2743
192	1720	2736
193	1729	2728
194	1738	2719
195	1745	2706
196	1753	2697
197	1762	2688
198	1771	2679
199	1780	2670
200	1789	2662
201	1798	2652
202	1807	2644
203	1815	2634
204	1825	2627
205	1833	2617
206	1841	2606
207	1850	2597
208	1859	2589
209	1868	2579
210	1877	2570
211	1886	2562
212	1896	2554
213	1904	2545
